System Lookup Name,Display Name,Type,Units,Range Min Label,Range Max Label,Range Min Value,Range Max Value,Range Default Value,Range Step Interval,Show Internally,Show Customer,System Variable
Full_Wrap,Full Wrap,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_LED_Length,LEDs (Lin. Feet Needed),Numeric,Feet,,,,,,,Yes,No,No
Coil_Paint_SubContract,Coil Painting,Numeric,Unit,,,,,,,Yes,No,No
PylonInstallCraneAddTime,Pylon Sign Installation Bigger than 50 sq ft,Boolean,Boolean,,,,,,,No,No,No
Round_Corners,Rounded Corners,Boolean,Boolean,,,,,,,Yes,No,No
Pole_Pocket_1_5in,Pole Pocket 1.5in (Telescoping),Boolean,Boolean,,,,,,,Yes,Yes,No
Full_Page_No_Cutting,Full Page,Boolean,Boolean,,,,,,,Yes,Yes,No
ThruCutTimePremask,Premask Thru Cut Time (Mins),Numeric,Unit,,,,,,,Yes,No,No
Round_Corner,Round Corner,Boolean,Boolean,,,,,,,Yes,Yes,No
MonumentSign,Monument Sign,Boolean,Boolean,,,,,,,Yes,Yes,No
Liquid_Lamination,Liquid Lamination,Boolean,Boolean,,,,,,,Yes,Yes,No
VerticalFlutes,Vertical Flutes,Boolean,Boolean,,,,,,,Yes,Yes,No
AssemblyPerMin,Assembly (Mins),Numeric,Unit,,,,,,,No,No,No
Pole_Pocket_1in_92in,1in Pole Pocket: 92in h x 120in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Width_in_feet,Width in Feet,Numeric,Feet,,,,,,,Yes,Yes,Yes
ShippingCost,Shipping Cost,Numeric,Unit,,,,,,,Yes,No,No
Vinyl_Color_2_Percentage,Vinyl Color 2 Coverage,Numeric,Unit,,,,,,,Yes,No,No
Size_2ft_w_3ft_h,2ft W x 3ft H,Boolean,Boolean,,,,,,,Yes,Yes,No
LH_Install_3x20_Additional,Additional Sign Installations,Numeric,Unit,,,,,,,Yes,Yes,No
Design_10mins_AddLogoOrText,Add. Logo/Text Change (10 Mins):,Numeric,Unit,,,,,,,Yes,No,No
Wrap_install1_sqft,Install 1 Man (Vehicle Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
Clamp_Spacing,Clamp Spacing,Numeric,Inches,,,,,,,Yes,No,No
Substrate_Color_1_Percentage,Substrate 1 Percentage,Numeric,Unit,,,,,,,Yes,No,No
Retractable33in_Double_Sided,33in Double Sided (Visible Area: 33in w x 78in h),Boolean,Boolean,,,,,,,Yes,Yes,No
Design_5mins_AddClientPrintReady,Add. Client Print Ready (5min),Numeric,Unit,,,,,,,Yes,No,No
Vinyl_Cutter_Kiss_Cut,Kiss Cut- Vinyl Cutter,Boolean,Boolean,,,,,,,Yes,Yes,No
Premask,Premask Graphic,Boolean,Boolean,,,,,,,No,No,No
Kiss_Cut_Vinyl_Cutting,Kiss Cut Vinyl Cutting,Boolean,Boolean,,,,,,,Yes,Yes,No
Half_Page_Cutting,1/2 Page (Half),Boolean,Boolean,,,,,,,Yes,Yes,No
Substrate_Color_5_Percentage,Substrate 5 Percentage,Numeric,Unit,,,,,,,Yes,No,No
CL_Assembly,Bending/Assembly Time,Numeric,Unit,,,,,,,Yes,No,No
Staple,Staple,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_1in_92in_144in,1in Pole Pocket: 92in h x 144in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Substrate_Color_4_Percentage,Substrate 4 Percentage,Numeric,Unit,,,,,,,Yes,No,No
H_WireStakes10x30,H Wire Stakes 10in x 30in,Boolean,Boolean,,,,,,,Yes,Yes,No
Channel_Coil_Length_1stColor,Channel Coil Length (1st Color),Numeric,Inches,,,,,,,Yes,No,No
LaserCutting,Laser Cutting,Boolean,Boolean,,,,,,,Yes,Yes,No
PercentageOfKissCut,Kiss Cut Percentage,Numeric,Unit,,,,,,,Yes,No,No
